Cable #,From,To,Conductor Type,Voltage Rating,Conductor AWG,Conductor Length (ft),Capacity (KVA)
1,1,2,C,13800,500,350,10000
2,2,3,C,13800,O,1050,10000
3,3,4,T,460,,,2000
4,4,5,C,460,O,50,10000
5,2,6,C,13800,500,1851,10000
6,6,7,C,13800,500,1901,10000
7,7,8,T,4160,,,3750
8,8,9,C,4160,OOOO,51,10000
9,9,10,C,4160,OOOO,30,10000
10,10,11,T,2400,,,4000
11,10,12,C,4150,OOOO,51,10000
12,12,13,T,460,,,1000
13,13,14,C,460,500,25,10000
14,10,15,C,4160,OOOO,51,10000
15,15,16,T,208,,,1000
16,16,17,C,208,500,25,10000
17,9,18,C,4160,OOOO,20,10000
18,18,19,C,4160,OOOO,51,10000
19,19,20,T,208,,,2000
20,20,21,C,208,500,25,10000
21,18,22,C,4160,OOOO,51,10000
22,22,23,T,208,,,2000
23,23,24,C,208,500,25,10000
24,22,25,T,2400,,,4000
25,25,26,C,2400,OOOO,80,10000
26,6,27,C,13800,O,1000,10000
27,27,28,T,460,,,2000
28,28,29,C,460,O,51,10000
29,2,30,C,13800,OOOO,720,10000
30,30,31,C,13800,OOOO,1400,10000
31,31,32,C,13800,OOOO,25,10000
32,32,33,T,460,,,500
33,33,34,C,460,500,50,10000
34,31,35,C,13800,OOOO,100,10000
35,35,36,T,460,,,750
36,36,37,C,460,500,50,10000
37,31,38,C,13800,OO,1010,10000
38,38,39,T,460,,,2000
39,39,40,C,460,500,125,10000
40,30,41,C,13800,500,20,10000
41,41,42,C,13800,500,100,10000
42,41,43,C,13800,500,251,10000
43,43,44,T,460,,,3750
