Cable #,From,To,Conductor Type,Voltage Rating,Conductor AWG,Conductor Length (ft),Capacity (KVA),R in Ohms,X in Ohms
1,1,2,C,13800,500,350,10000,0.0105,0.01841
2,2,3,C,13800,O,1050,10000,0.1344,0.066675
3,3,4,T,460,,,2000,0.00081466,0.0053958
4,4,5,C,460,O,50,10000,0.0064,0.0027
5,2,6,C,13800,500,1851,10000,0.05553,0.097363
6,6,7,C,13800,500,1901,10000,0.05703,0.099993
7,7,8,T,4160,,,3750,0.027689,0.22151
8,8,9,C,4160,OOOO,51,10000,0.003264,0.0025347
9,9,10,C,4160,OOOO,30,10000,0.00192,0.001491
10,10,11,T,2400,,,4000,0.00864,0.06912
11,10,12,C,4150,OOOO,51,10000,0.003264,0.0025347
12,12,13,T,460,,,1000,0.0018832,0.010792
13,13,14,C,460,500,25,10000,0.000735,0.001165
14,10,15,C,4160,OOOO,51,10000,0.003264,0.0025347
15,15,16,T,208,,,1000,0.00038505,0.0022065
16,16,17,C,208,500,25,10000,0.000735,0.001165
17,9,18,C,4160,OOOO,20,10000,0.00128,0.000994
18,18,19,C,4160,OOOO,51,10000,0.003264,0.0025347
19,19,20,T,208,,,2000,0.00016657,0.0011032
20,20,21,C,208,500,25,10000,0.000735,0.001165
21,18,22,C,4160,OOOO,51,10000,0.003264,0.0025347
22,22,23,T,208,,,2000,0.00016657,0.0011032
23,23,24,C,208,500,25,10000,0.000735,0.001165
24,22,25,T,2400,,,4000,0.00864,0.06912
25,25,26,C,2400,OOOO,80,10000,0.00512,0.003976
26,6,27,C,13800,O,1000,10000,0.128,0.0635
27,27,28,T,460,,,2000,0.00081466,0.0053958
28,28,29,C,460,O,51,10000,0.006528,0.002754
29,2,30,C,13800,OOOO,720,10000,0.0468,0.041976
30,30,31,C,13800,OOOO,1400,10000,0.091,0.08162
31,31,32,C,13800,OOOO,25,10000,0.001625,0.0014575
32,32,33,T,460,,,500,0.0044013,0.016928
33,33,34,C,460,500,50,10000,0.00147,0.00233
34,31,35,C,13800,OOOO,100,10000,0.0065,0.00583
35,35,36,T,460,,,750,0.0026521,0.014389
36,36,37,C,460,500,50,10000,0.00147,0.00233
37,31,38,C,13800,OO,1010,10000,0.10403,0.06363
38,38,39,T,460,,,2000,0.00081466,0.0053958
39,39,40,C,460,500,125,10000,0.003675,0.005825
40,30,41,C,13800,500,20,10000,0.0006,0.001052
41,41,42,C,13800,500,100,10000,0.003,0.00526
42,41,43,C,13800,500,251,10000,0.00753,0.013203
43,43,44,T,460,,,3750,0.00033856,0.0027085
